"Facility ID","Measure ID","Value","Footnote","Start Date","End Date"
010001,MSPB-1,0.985183,,01/01/2024,12/31/2024
010005,MSPB-1,1.003681,,01/01/2024,12/31/2024
010006,MSPB-1,1.009876,,01/01/2024,12/31/2024
010007,MSPB-1,1.044282,,01/01/2024,12/31/2024
010008,MSPB-1,1.140340,,01/01/2024,12/31/2024
010011,MSPB-1,0.960166,29,01/01/2024,12/31/2024
010012,MSPB-1,0.987621,,01/01/2024,12/31/2024
010016,MSPB-1,1.018382,,01/01/2024,12/31/2024
010018,MSPB-1,N/A,1,01/01/2024,12/31/2024
010019,MSPB-1,1.099919,,01/01/2024,12/31/2024
010021,MSPB-1,0.990577,,01/01/2024,12/31/2024
010022,MSPB-1,0.972158,,01/01/2024,12/31/2024
010023,MSPB-1,1.005623,,01/01/2024,12/31/2024
010024,MSPB-1,1.023253,,01/01/2024,12/31/2024
010029,MSPB-1,0.956650,,01/01/2024,12/31/2024
010033,MSPB-1,0.968626,,01/01/2024,12/31/2024
010034,MSPB-1,0.982949,,01/01/2024,12/31/2024
010035,MSPB-1,0.991784,,01/01/2024,12/31/2024
010036,MSPB-1,0.953700,,01/01/2024,12/31/2024
010039,MSPB-1,1.025626,,01/01/2024,12/31/2024
010040,MSPB-1,1.070020,,01/01/2024,12/31/2024
010044,MSPB-1,1.074413,,01/01/2024,12/31/2024
010045,MSPB-1,0.925704,,01/01/2024,12/31/2024
010046,MSPB-1,0.972671,,01/01/2024,12/31/2024
010049,MSPB-1,0.907144,,01/01/2024,12/31/2024
010051,MSPB-1,N/A,1,01/01/2024,12/31/2024
010052,MSPB-1,0.784735,,01/01/2024,12/31/2024
010055,MSPB-1,1.007914,,01/01/2024,12/31/2024
010056,MSPB-1,0.945657,29,01/01/2024,12/31/2024
010058,MSPB-1,1.057921,,01/01/2024,12/31/2024
010059,MSPB-1,0.995021,,01/01/2024,12/31/2024
010061,MSPB-1,0.939053,,01/01/2024,12/31/2024
010062,MSPB-1,0.962947,,01/01/2024,12/31/2024
010065,MSPB-1,0.953565,,01/01/2024,12/31/2024
010073,MSPB-1,1.040918,,01/01/2024,12/31/2024
010078,MSPB-1,1.028102,,01/01/2024,12/31/2024
010079,MSPB-1,1.064001,,01/01/2024,12/31/2024
010083,MSPB-1,0.978640,,01/01/2024,12/31/2024
010085,MSPB-1,1.011574,,01/01/2024,12/31/2024
010086,MSPB-1,1.004102,,01/01/2024,12/31/2024
010087,MSPB-1,0.981172,,01/01/2024,12/31/2024
010089,MSPB-1,0.949427,,01/01/2024,12/31/2024
010090,MSPB-1,0.952353,,01/01/2024,12/31/2024
010091,MSPB-1,N/A,1,01/01/2024,12/31/2024
010092,MSPB-1,0.963285,,01/01/2024,12/31/2024
010095,MSPB-1,0.897038,,01/01/2024,12/31/2024
010097,MSPB-1,0.837991,,01/01/2024,12/31/2024
010099,MSPB-1,0.926512,,01/01/2024,12/31/2024
010100,MSPB-1,0.928414,,01/01/2024,12/31/2024
010101,MSPB-1,1.017571,,01/01/2024,12/31/2024
010103,MSPB-1,1.020680,,01/01/2024,12/31/2024
010104,MSPB-1,1.005174,,01/01/2024,12/31/2024
010108,MSPB-1,0.928857,,01/01/2024,12/31/2024
010112,MSPB-1,0.845641,,01/01/2024,12/31/2024
010113,MSPB-1,0.995465,,01/01/2024,12/31/2024
010114,MSPB-1,1.009222,,01/01/2024,12/31/2024
010118,MSPB-1,0.962315,,01/01/2024,12/31/2024
010120,MSPB-1,1.012742,,01/01/2024,12/31/2024
010125,MSPB-1,1.035821,,01/01/2024,12/31/2024
010126,MSPB-1,1.007184,,01/01/2024,12/31/2024
010128,MSPB-1,0.879221,,01/01/2024,12/31/2024
010129,MSPB-1,0.907834,,01/01/2024,12/31/2024
